filename	entity_label	entity_kind	start_span	end_span	text
cardiovascular_arterial hypertension_0.txt	symptom	concept	455	464	dizziness
cardiovascular_arterial hypertension_0.txt	disease	concept	639	663	type 2 diabetes mellitus
cardiovascular_arterial hypertension_0.txt	medication	concept	684	693	metformin
cardiovascular_arterial hypertension_0.txt	disease	concept	718	738	hypercholesterolemia
cardiovascular_arterial hypertension_0.txt	medication	concept	752	764	atorvastatin
cardiovascular_arterial hypertension_0.txt	procedure	concept	1270	1280	urinalysis
cardiovascular_arterial hypertension_0.txt	disease	concept	1534	1557	white coat hypertension
cardiovascular_arterial hypertension_0.txt	symptom	concept	1779	1790	weight loss
cardiovascular_arterial hypertension_0.txt	medication	concept	1923	1933	lisinopril
cardiovascular_arterial hypertension_0.txt	medication	concept	1938	1951	ACE inhibitor
cardiovascular_arterial hypertension_0.txt	medication	concept	2168	2178	lisinopril
cardiovascular_arterial hypertension_0.txt	medication	concept	2715	2725	Lisinopril
cardiovascular_arterial hypertension_0.txt	medication	concept	2756	2765	Metformin
cardiovascular_arterial hypertension_0.txt	medication	concept	2798	2810	Atorvastatin
cardiovascular_arterial hypertension_0.txt	disease	concept	3260	3272	hypertension
cardiovascular_arterial hypertension_0.txt	symptom	concept	3999	4015	severe headaches
cardiovascular_arterial hypertension_0.txt	symptom	concept	4017	4027	chest pain
cardiovascular_arterial hypertension_0.txt	symptom	concept	4029	4048	shortness of breath
cardiovascular_arterial hypertension_0.txt	symptom	concept	4066	4081	adverse effects
cardiovascular_arterial hypertension_0.txt	disease	concept	4312	4333	arterial hypertension
cardiovascular_arterial hypertension_0.txt	procedure	concept	4356	4379	lifestyle modifications
cardiovascular_arterial hypertension_0.txt	procedure	concept	4384	4409	pharmacological treatment
cardiovascular_arterial hypertension_0.txt	procedure	concept	4524	4547	lifestyle modifications
cardiovascular_arterial hypertension_0.txt	procedure	concept	4596	4618	follow-up appointments
cardiovascular_arterial hypertension_0.txt	procedure	concept	4676	4697	medication management
cardiovascular_arterial hypertension_1.txt	symptom	concept	401	410	headaches
cardiovascular_arterial hypertension_1.txt	symptom	concept	427	436	dizziness
cardiovascular_arterial hypertension_1.txt	disease	concept	528	540	hypertension
cardiovascular_arterial hypertension_1.txt	disease	concept	738	750	hypertension
cardiovascular_arterial hypertension_1.txt	symptom	concept	1664	1676	sinus rhythm
cardiovascular_arterial hypertension_1.txt	disease	concept	1826	1847	arterial hypertension
cardiovascular_arterial hypertension_1.txt	symptom	concept	1981	1997	secondary causes
cardiovascular_arterial hypertension_1.txt	medication	concept	2556	2566	Lisinopril
cardiovascular_arterial hypertension_1.txt	symptom	concept	3144	3158	blood pressure
cardiovascular_arterial hypertension_1.txt	medication	concept	3610	3620	Lisinopril
cardiovascular_arterial hypertension_1.txt	symptom	concept	3678	3683	cough
cardiovascular_arterial hypertension_10.txt	symptom	concept	437	446	headaches
cardiovascular_arterial hypertension_10.txt	symptom	concept	460	469	dizziness
cardiovascular_arterial hypertension_10.txt	disease	concept	601	622	arterial hypertension
cardiovascular_arterial hypertension_10.txt	procedure	concept	1021	1031	urinalysis
cardiovascular_arterial hypertension_10.txt	disease	concept	1385	1406	arterial hypertension
cardiovascular_arterial hypertension_10.txt	disease	concept	1462	1483	white coat hypertensi
cardiovascular_arterial hypertension_10.txt	disease	concept	1551	1563	hypertension
cardiovascular_arterial hypertension_10.txt	disease	concept	1575	1596	primary aldosteronism
cardiovascular_arterial hypertension_10.txt	medication	concept	1989	1999	Lisinopril
cardiovascular_arterial hypertension_10.txt	medication	concept	2004	2017	ACE inhibitor
cardiovascular_arterial hypertension_10.txt	medication	concept	2098	2112	ACE inhibitors
cardiovascular_arterial hypertension_10.txt	medication	concept	2316	2326	Amlodipine
cardiovascular_arterial hypertension_10.txt	medication	concept	2330	2369	dihydropyridine calcium channel blocker
cardiovascular_arterial hypertension_10.txt	medication	concept	2724	2734	Lisinopril
cardiovascular_arterial hypertension_10.txt	medication	concept	2763	2773	Amlodipine
cardiovascular_arterial hypertension_10.txt	symptom	concept	3216	3230	blood pressure
cardiovascular_arterial hypertension_10.txt	medication	concept	3268	3279	medications
cardiovascular_arterial hypertension_10.txt	disease	concept	3373	3385	hypertension
cardiovascular_arterial hypertension_10.txt	symptom	concept	3558	3572	blood pressure
cardiovascular_arterial hypertension_10.txt	symptom	concept	3822	3836	blood pressure
cardiovascular_arterial hypertension_10.txt	symptom	concept	4041	4053	side effects
cardiovascular_arterial hypertension_11.txt	disease	concept	226	247	Arterial Hypertension
cardiovascular_arterial hypertension_11.txt	disease	concept	362	386	Type 2 Diabetes Mellitus
cardiovascular_arterial hypertension_11.txt	symptom	concept	464	482	episodic headaches
cardiovascular_arterial hypertension_11.txt	symptom	concept	484	493	dizziness
cardiovascular_arterial hypertension_11.txt	disease	concept	600	622	cardiovascular disease
cardiovascular_arterial hypertension_11.txt	medication	concept	658	686	antihypertensive medications
cardiovascular_arterial hypertension_11.txt	procedure	concept	1073	1090	Diagnostic Workup
cardiovascular_arterial hypertension_11.txt	procedure	concept	1100	1110	Urinalysis
cardiovascular_arterial hypertension_11.txt	medication	concept	1498	1508	Lisinopril
cardiovascular_arterial hypertension_11.txt	medication	concept	1553	1572	Hydrochlorothiazide
cardiovascular_arterial hypertension_11.txt	disease	concept	1629	1650	arterial hypertension
cardiovascular_arterial hypertension_11.txt	disease	concept	1955	1967	hypertension
cardiovascular_arterial hypertension_11.txt	medication	concept	2366	2376	Lisinopril
cardiovascular_arterial hypertension_11.txt	disease	concept	2424	2436	hypertension
cardiovascular_arterial hypertension_11.txt	medication	concept	2442	2461	Hydrochlorothiazide
cardiovascular_arterial hypertension_11.txt	disease	concept	2511	2523	hypertension
cardiovascular_arterial hypertension_11.txt	symptom	concept	2650	2664	blood pressure
cardiovascular_arterial hypertension_11.txt	disease	concept	2799	2811	hypertension
cardiovascular_arterial hypertension_11.txt	disease	concept	3530	3542	hypertension
cardiovascular_arterial hypertension_11.txt	symptom	concept	3769	3788	shortness of breath
cardiovascular_arterial hypertension_11.txt	symptom	concept	3793	3812	excessive dizziness
cardiovascular_arterial hypertension_11.txt	disease	concept	3965	3986	arterial hypertension
cardiovascular_arterial hypertension_11.txt	medication	concept	4020	4030	Lisinopril
cardiovascular_arterial hypertension_11.txt	medication	concept	4035	4054	Hydrochlorothiazide
cardiovascular_arterial hypertension_11.txt	disease	concept	4215	4227	hypertension
cardiovascular_arterial hypertension_12.txt	disease	concept	285	306	Arterial Hypertension
cardiovascular_arterial hypertension_12.txt	disease	concept	410	434	type 2 diabetes mellitus
cardiovascular_arterial hypertension_12.txt	disease	concept	439	453	hyperlipidemia
cardiovascular_arterial hypertension_12.txt	symptom	concept	537	546	headaches
cardiovascular_arterial hypertension_12.txt	symptom	concept	563	572	dizziness
cardiovascular_arterial hypertension_12.txt	procedure	concept	1122	1138	echocardiography
cardiovascular_arterial hypertension_12.txt	procedure	concept	1203	1213	urinalysis
cardiovascular_arterial hypertension_12.txt	procedure	concept	1228	1257	comprehensive metabolic panel
cardiovascular_arterial hypertension_12.txt	medication	concept	1259	1281	fasting plasma glucose
cardiovascular_arterial hypertension_12.txt	procedure	concept	1287	1290	ECG
cardiovascular_arterial hypertension_12.txt	disease	concept	1360	1381	arterial hypertension
