filename	entity_label	entity_kind	start_span	end_span	text
cardiovascular_arterial hypertension_0_BGgpt.txt	disease	concept	344	365	артериална хипертония
cardiovascular_arterial hypertension_0_BGgpt.txt	disease	concept	628	648	захарен диабет тип 2
cardiovascular_arterial hypertension_0_BGgpt.txt	medication	concept	670	679	метформин
cardiovascular_arterial hypertension_0_BGgpt.txt	medication	concept	738	750	аторвастатин
cardiovascular_arterial hypertension_0_BGgpt.txt	disease	concept	790	817	сърдечно-съдови заболявания
cardiovascular_arterial hypertension_0_BGgpt.txt	medication	concept	1728	1734	натрий
cardiovascular_arterial hypertension_0_BGgpt.txt	medication	concept	1818	1828	лизиноприл
cardiovascular_arterial hypertension_0_BGgpt.txt	medication	concept	1830	1843	АСЕ-инхибитор
cardiovascular_arterial hypertension_0_BGgpt.txt	disease	concept	1893	1899	диабет
cardiovascular_arterial hypertension_0_BGgpt.txt	medication	concept	2026	2036	лизиноприл
cardiovascular_arterial hypertension_0_BGgpt.txt	medication	concept	2531	2541	Лизиноприл
cardiovascular_arterial hypertension_0_BGgpt.txt	medication	concept	2578	2587	Метформин
cardiovascular_arterial hypertension_0_BGgpt.txt	medication	concept	2627	2639	Аторвастатин
cardiovascular_arterial hypertension_0_BGgpt.txt	disease	concept	3116	3139	артериалната хипертония
cardiovascular_arterial hypertension_0_BGgpt.txt	medication	concept	3184	3195	медикаменти
cardiovascular_arterial hypertension_0_BGgpt.txt	symptom	concept	3876	3886	главоболие
cardiovascular_arterial hypertension_0_BGgpt.txt	symptom	concept	3888	3903	болка в гърдите
cardiovascular_arterial hypertension_0_BGgpt.txt	symptom	concept	3905	3910	задух
cardiovascular_arterial hypertension_0_BGgpt.txt	symptom	concept	3927	3943	нежелани реакции
cardiovascular_arterial hypertension_0_BGgpt.txt	disease	concept	4132	4153	артериална хипертония
cardiovascular_arterial hypertension_0_BGgpt.txt	disease	concept	4417	4427	хипертония
cardiovascular_arterial hypertension_0_BGgpt.txt	procedure	concept	4439	4457	контролни прегледи
cardiovascular_arterial hypertension_0_BGgpt.txt	medication	concept	4539	4552	медикаментите
cardiovascular_arterial hypertension_10_BGgpt.txt	symptom	concept	427	449	епизоди на световъртеж
cardiovascular_arterial hypertension_10_BGgpt.txt	disease	concept	616	637	артериална хипертония
cardiovascular_arterial hypertension_10_BGgpt.txt	disease	concept	1438	1459	артериална хипертония
cardiovascular_arterial hypertension_10_BGgpt.txt	disease	concept	1602	1612	хипертония
cardiovascular_arterial hypertension_10_BGgpt.txt	disease	concept	1635	1654	хипералдостеронизъм
cardiovascular_arterial hypertension_10_BGgpt.txt	disease	concept	1694	1714	ендокринни нарушения
cardiovascular_arterial hypertension_10_BGgpt.txt	medication	concept	1836	1842	натрий
cardiovascular_arterial hypertension_10_BGgpt.txt	medication	concept	2054	2064	Лизиноприл
cardiovascular_arterial hypertension_10_BGgpt.txt	medication	concept	2066	2079	АСЕ-инхибитор
cardiovascular_arterial hypertension_10_BGgpt.txt	medication	concept	2162	2176	АСЕ-инхибитори
cardiovascular_arterial hypertension_10_BGgpt.txt	medication	concept	2440	2449	Амлодипин
cardiovascular_arterial hypertension_10_BGgpt.txt	symptom	concept	2795	2810	нежелани ефекти
cardiovascular_arterial hypertension_10_BGgpt.txt	medication	concept	2848	2858	Лизиноприл
cardiovascular_arterial hypertension_10_BGgpt.txt	medication	concept	2895	2904	Амлодипин
cardiovascular_arterial hypertension_10_BGgpt.txt	disease	concept	3517	3540	артериалната хипертония
cardiovascular_arterial hypertension_10_BGgpt.txt	medication	concept	3911	3922	медикаменти
cardiovascular_arterial hypertension_10_BGgpt.txt	symptom	concept	4232	4249	тревожни симптоми
cardiovascular_arterial hypertension_10_BGgpt.txt	symptom	concept	4254	4270	странични ефекти
cardiovascular_arterial hypertension_11_BGgpt.txt	disease	concept	4	12	Епикриза
cardiovascular_arterial hypertension_11_BGgpt.txt	disease	concept	212	233	Артериална хипертония
cardiovascular_arterial hypertension_11_BGgpt.txt	disease	concept	327	347	захарен диабет тип 2
cardiovascular_arterial hypertension_11_BGgpt.txt	symptom	concept	429	450	епизодични главоболия
cardiovascular_arterial hypertension_11_BGgpt.txt	symptom	concept	452	463	световъртеж
cardiovascular_arterial hypertension_11_BGgpt.txt	disease	concept	569	590	артериална хипертония
