Source File	English Term	Bulgarian Term	Justification
cardiovascular_arterial hypertension_0_BGgpt_terms_EN_BG.txt	Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
cardiovascular_arterial hypertension_0_BGgpt_terms_EN_BG.txt	Date of Admission	Дата на постъпване	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_0_BGgpt_terms_EN_BG.txt	Date of Discharge	Дата на изписване	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_0_BGgpt_terms_EN_BG.txt	Chief Complaint	Основни оплаквания	Standard Bulgarian medical term for patient complaint.
cardiovascular_arterial hypertension_0_BGgpt_terms_EN_BG.txt	Hypertension	Артериална хипертония	Standard Bulgarian medical term for high blood pressure.
cardiovascular_arterial hypertension_0_BGgpt_terms_EN_BG.txt	Type 2 Diabetes Mellitus	Захарен диабет тип 2	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_0_BGgpt_terms_EN_BG.txt	Hypercholesterolemia	Хиперхолестеролемия	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_0_BGgpt_terms_EN_BG.txt	Target Organ Damage	Увреждане на таргетни органи	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_0_BGgpt_terms_EN_BG.txt	Physical Examination	Обективно състояние / статус	Standard Bulgarian medical term for patient status.
cardiovascular_arterial hypertension_0_BGgpt_terms_EN_BG.txt	Home Blood Pressure Monitoring	Домашно измерване на артериално налягане	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_0_BGgpt_terms_EN_BG.txt	Hospital Course	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay.
cardiovascular_arterial hypertension_0_BGgpt_terms_EN_BG.txt	Follow-Up	Проследяване	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_0_BGgpt_terms_EN_BG.txt	Patient Education	Обучение на пациента	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_0_BGgpt_terms_EN_BG.txt	Discharge Instructions	Препоръки при изписване	Standard Bulgarian medical term for patient instructions and recommendations.
cardiovascular_arterial hypertension_0_BGgpt_terms_EN_BG.txt	Recommendations	Препоръки	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_10_BGgpt_terms_EN_BG.txt	Myocardial Infarction	Миокарден инфаркт	Standard Bulgarian medical term for heart attack.
cardiovascular_arterial hypertension_10_BGgpt_terms_EN_BG.txt	Hypertension	Артериална хипертония	Standard Bulgarian medical term for high blood pressure.
cardiovascular_arterial hypertension_10_BGgpt_terms_EN_BG.txt	Patient Discharge Summary	Епикриза	Standard Bulgarian medical term for clinical document.
cardiovascular_arterial hypertension_10_BGgpt_terms_EN_BG.txt	Physical Examination	Обективно състояние / статус	Standard Bulgarian medical term for patient status.
cardiovascular_arterial hypertension_10_BGgpt_terms_EN_BG.txt	Follow-Up and Recommendations	Препоръки и заключение	Standard Bulgarian medical term for patient instructions and recommendations.
cardiovascular_arterial hypertension_10_BGgpt_terms_EN_BG.txt	Treatment and Management	Лечебно-диагностичен план и ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay.
cardiovascular_arterial hypertension_10_BGgpt_terms_EN_BG.txt	Hospital Course	Ход на лечението	Standard Bulgarian medical term for patient treatment during the hospital stay, more concise.
cardiovascular_arterial hypertension_10_BGgpt_terms_EN_BG.txt	Discharge Instructions	Препоръки при изписване	Standard Bulgarian medical term for patient instructions and recommendations.
cardiovascular_arterial hypertension_10_BGgpt_terms_EN_BG.txt	Chief Complaint	Основни оплаквания	Standard Bulgarian medical term for patient complaint.
cardiovascular_arterial hypertension_10_BGgpt_terms_EN_BG.txt	Ambulatory Blood Pressure Monitoring	24-часово амбулаторно мониториране на кръвно налягане (АМКН)	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_10_BGgpt_terms_EN_BG.txt	ACE Inhibitor	АСЕ-инхибитор	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_10_BGgpt_terms_EN_BG.txt	Calcium Channel Blocker	Блокер на калциевите канали	Standard Bulgarian medical term.
cardiovascular_arterial hypertension_10_BGgpt_terms_EN_BG.txt	Lipid Panel	Липиден профил	Standard Bulgarian medical term.
